date,area,marketId,location,sourceType,commodityKey,commodity,brand,productName,size,unit,price,priceType,stockStatus,confidence,observedAt,address,sourceUrl
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,minyak-curah,Minyak goreng curah,Komoditas pasar,Minyak goreng curah,1 kg,kg,20000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,minyakita,Minyakita,Komoditas pasar,Minyakita,1 liter,liter,15700,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,minyakita,Minyakita,Komoditas pasar,Minyakita,1 liter,liter,21000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,minyakita,Minyakita,Komoditas pasar,Minyakita,1 liter,liter,15700,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,sapi,Daging sapi paha belakang,Komoditas pasar,Daging sapi paha belakang,1 kg,kg,130000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,sapi,Daging sapi paha belakang,Komoditas pasar,Daging sapi paha belakang,1 kg,kg,115000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,sapi,Daging sapi paha belakang,Komoditas pasar,Daging sapi paha belakang,1 kg,kg,130000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,telur,Telur ayam ras,Komoditas pasar,Telur ayam ras,1 kg,kg,25000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,telur,Telur ayam ras,Komoditas pasar,Telur ayam ras,1 kg,kg,24000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,telur,Telur ayam ras,Komoditas pasar,Telur ayam ras,1 kg,kg,26000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
